questions,sparql,cypher,question type
What is the name of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT ?first ?last WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.firstName, p.lastName;",WH
What is the health care coverage status of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?healthcareCoverage WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:healthcareCoverage ?healthcareCoverage }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN DISTINCT p.healthcareCoverage;,WH
What is the income status of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?income WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:income ?income }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN DISTINCT p.income;,WH
When was the patient with the ID {patient_id} born?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?birthdate WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:birthdate ?birthdate }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.birthDate;,WH
Where was the patient with the ID {patient_id} born?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?birthplace WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:birthplace ?birthplace }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.birthplace;,WH
From which state is the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?state WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:state ?state }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.state;,WH
Which ethnicity does the patient with the ID {patient_id} have?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:ethnicity ?ethnicity }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.ethnicity;,WH
Can you provide information about the birth location of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?birthplace WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:birthplace ?birthplace }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.birthplace;,nonWH
Can you tell me the ethnic heritage of the patient whose ID matches {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:ethnicity ?ethnicity }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.ethnicity;,nonWH
Do you have the name of the patient corresponding to the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?first ?last WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.firstName, p.lastName;",nonWH
Can you tell me the gender of the patient whose ID matches {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?gender WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:gender ?gender }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.gender;,nonWH
Could you specify the address of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?address WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:address ?address }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.address;,nonWH
Could you provide me with the income status of the patient whose ID matches {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?income WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:income ?income }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN DISTINCT p.income;,nonWH
What is the birthdate of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?birthdate WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:birthdate ?birthdate }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.birthDate;",WH
What is the ethnicity of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:ethnicity ?ethnicity }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.ethnicity;",WH
What is the gender of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?gender WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:gender ?gender }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.gender;",WH
What is the birthplace of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?birthplace WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:birthplace ?birthplace }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.birthplace;",WH
What is the address of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?address WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:address ?address }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.address;",WH
What is the city of residence of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?city WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:city ?city }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.city;",WH
What is the state of residence of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?state WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:state ?state }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.state;",WH
What is the county of residence of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?county WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:county ?county }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.county;",WH
What is the health care coverage status of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?healthcareCoverage WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:healthcareCoverage ?healthcareCoverage }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.healthcareCoverage;",WH
What is the income status of the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?income WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:income ?income }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.income;",WH
When was the patient named {first_name} {last_name} born?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?birthdate WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:birthdate ?birthdate }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.birthDate;",WH
Where was the patient named {first_name} {last_name} born?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?birthplace WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:birthplace ?birthplace }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.birthplace;",WH
From which state is the patient named {first_name} {last_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?state WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:state ?state }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.state;",WH
Which ethnicity does the patient named {last_name} have?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:last '{last_name}'^^pl:; syn:ethnicity ?ethnicity }},MATCH (p:Patient {{lastName: '{last_name}'}}) RETURN p.ethnicity;,WH
Which ethnicity does patient {first_name} have?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:ethnicity ?ethnicity }},MATCH (p:Patient {{firstName:'{first_name}'}}) RETURN p.ethnicity;,WH
Which ethnicity does the patient named {first_name} {last_name} have?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:ethnicity ?ethnicity }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN p.ethnicity;",WH
Which allergies does the patient named {first_name} {last_name} have?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?description WHERE {{ ?Allergy a syn:Allergy ; syn:description ?description; syn:patientId ?patientId. ?Patient a syn:Patient; syn:id ?patientId; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:. }},"MATCH (a:Allergy)-[:IS_ABOUT]->(p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}}) RETURN a.description;",WH
What procedures did the patient named {first_name} {last_name} undergo?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?description WHERE {{ ?patient a syn:Patient ; syn:first '{first_name}'^^pl:; syn:last '{last_name}'^^pl:; syn:id ?patientid. ?procedure a syn:Procedure; syn:patientId ?patientid; syn:description ?description. }},"MATCH (p:Patient {{firstName:'{first_name}',lastName: '{last_name}'}})-[:HAS_HISTORY_OF]->(pr:Procedure) RETURN pr.description;",WH
